model,best_params,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
logistic_regression,"{'classifier__C': 0.2, 'classifier__class_weight': None}",0.910677004155265,0.8032786885245902,0.7666666666666667,0.8214285714285714,0.7931034482758621,0.9318181818181818
random_forest,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 300}",0.8979454522932784,0.819672131147541,0.7575757575757576,0.8928571428571429,0.819672131147541,0.9134199134199135
